2D Materials;2D Mater.
Costume-The Journal of the Costume Society;Costume
Counseling and Values;Couns. Values
COUNSELING PSYCHOLOGIST;Couns. Psychol.
Counselling & Psychotherapy Research;Couns. Psychother. Res.
Counselling Psychology Quarterly;Couns. Psychol. Q.
COUNSELOR EDUCATION AND SUPERVISION;Couns. Educ. Superv.
CounterText-A Journal for the Study of the Post-Literary;CounterText
Couple and Family Psychology-Research and Practice;Couple Fam. Psychol.
Coupled Systems Mechanics;Coupled Syst. Mech.
CPT-Pharmacometrics & Systems Pharmacology;CPT-PHARMACOMET. SYST. PHARMACOL.
CPU-e Revista de Investigacion Educativa;CPU-Rev. Investig. Educ.
CR-THE NEW CENTENNIAL REVIEW;CR-New Centen. Rev.
Craft Research;Craft Res.
CRANIO-The Journal of Craniomandibular & Sleep Practice;Cranio-J. Craniomandib.  Sleep Pract.
Craniomaxillofacial Trauma & Reconstruction;Craniomaxillofacial Trauma Reconstr.
Creative Nursing;Creat. Nurs.
Creativity and Innovation Management;Creat. Innov. Manag.
CREATIVITY RESEARCH JOURNAL;Creativ. Res. J.
Crescent Journal of Medical and Biological Sciences;Crescent J. Med. Biol. Sci.
CRETACEOUS RESEARCH;Cretac. Res.
CRIME & DELINQUENCY;Crime Delinq.
Crime and Justice-A Review of Research;Crime Justice
CRIME LAW AND SOCIAL CHANGE;Crime Law Soc. Change
Crime Media Culture;Crime Media Cult.
Crime Prevention & Community Safety;Crime Prev. Community Saf.
Crime Science;Crime Sci.
Criminal Behaviour and Mental Health;Crim. Behav. Ment. Health
CRIMINAL JUSTICE AND BEHAVIOR;Crim. Justice Behav.
Criminal Justice Studies;Crim. Justice Stud.
Criminal Law and Philosophy;Crim. Law Philos.
Criminal Law Forum;Crim. Law Forum
CRIMINAL LAW JOURNAL;Crim. Law J.
Criminologie;Criminologie
CRIMINOLOGY;Criminololgy
Criminology & Criminal Justice;Crimnol. Crim. Justice
Criminology & Public Policy;Criminol. Public Policy
Crisis-The Journal of Crisis Intervention and Suicide Prevention;Crisis
CRISPR Journal;CRISPR J.
Cristianesimo nella Storia;Crist. Stor.
CRITICA D ARTE;Crit. Arte
CRITICA LETTERARIA;Crit. Lett.
CRITICA-REVISTA HISPANOAMERICANA DE FILOSOFIA;Crit.-Rev. Hispanoam. Filos.
Critical and Radical Social Work;Crit. Radic. Soc. Work
Critical Arts-South-North Cultural and Media Studies;Crit. Arts
CRITICAL ASIAN STUDIES;Crit. Asian Stud
CRITICAL CARE;Crit. Care
Critical Care and Resuscitation;Crit. Care Resusc.
CRITICAL CARE CLINICS;Crit. Care Clin.
CRITICAL CARE MEDICINE;Crit. Care Med.
Critical Care Nurse;Crit. Care Nurse
Critical Care Nursing Clinics of North America;Crit. Care Nurs. Clin. N. Am.
Critical Care Nursing Quarterly;Crit. Care Nurs. Q.
Critical Care Research and Practice;Crit. Care Res. Pract.
Critical Criminology;Crit. Criminol.
Critical Discourse Studies;Crit. Discourse Stud.
Critical Education;Crit. Educ.
Critical Ethnic Studies;Crit. Ethn. Stud.
Critical Finance Review;Crit. Financ. Rev.
Critical Historical Studies;Crit. Hist. Stud.
Critical Horizons;Crit. Horiz.
CRITICAL INQUIRY;Crit. Inq.
Critical Perspectives on Accounting;Crit. Perspect. Account.
Critical Perspectives on International Business;Crit. Perspect. Int. Bus.
Critical Philosophy of Race;Crit. Philos. Race
Critical Policy Studies;Crit. Policy Stud.
Critical Public Health;Crit. Public Heath
CRITICAL QUARTERLY;Crit. Q.
Critical Research on Religion;Crit. Res. Relig.
CRITICAL REVIEW;Crit. Rev.
Critical Review of International Social and Political Philosophy;Crit. Rev. Int. Soc. Polit. Philos.
CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY;Crit. Rev. Anal. Chem.
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY;Crit. Rev. Biochem. Mol. Biol.
CRITICAL REVIEWS IN BIOTECHNOLOGY;Crit. Rev. Biotechnol.
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES;Crit. Rev. Clin. Lab. Sci.
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY;Crit. Rev. Environ. Sci. Technol.
CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION;Crit. Rev. Eukaryot. Gene Expr.
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION;Crit. Rev. Food Sci. Nutr.
CRITICAL REVIEWS IN IMMUNOLOGY;Crit. Rev. Immunol.
CRITICAL REVIEWS IN MICROBIOLOGY;Crit. Rev. Microbiol.
CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY;Crit. Rev. Oncol./Hematol.
CRITICAL REVIEWS IN PLANT SCIENCES;Crit. Rev. Plant Sci.
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES;Crit. Rev. Solid State Mat. Sci.
CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS;Crit. Rev. Ther. Drug Carr. Syst.
CRITICAL REVIEWS IN TOXICOLOGY;Crit. Rev. Toxicol.
CRITICAL SOCIAL POLICY;Crit. Soc. Policy
Critical Sociology;Crit. Sociol.
Critical Studies in Education;Crit. Stud. Educ.
Critical Studies in Fashion & Beauty;Crit. Stud. Fash. Beauty
CRITICAL STUDIES IN MEDIA COMMUNICATION;Crit. Stud. Media Comm.
Critical Studies in Mens Fashion;Crit. Stud. Mens Fash.
Critical Studies in Television;Crit. Stud. Telev.
Critical Studies on Terrorism;Crit. Stud. Terror.
Critical Survey;Crit. Surv.
Critical Ultrasound Journal;Crit. Ultrasound J.
CRITICISM-A QUARTERLY FOR LITERATURE AND THE ARTS;Crit.-Q. Lit. Arts
CRITIQUE;Critique
CRITIQUE OF ANTHROPOLOGY;Crit. Anthropol.
CRITIQUE-STUDIES IN CONTEMPORARY FICTION;Crit.-Stud. Contemp. Fiction
Croatian and Comparative Public Administration;Croat. Comp. Public Adm.
Croatian Economic Survey;Croat. Econ. Surv.
Croatian International Relations Review;Croat. Int. Relat. Rev.
Croatian Journal of Education-Hrvatski Casopis za Odgoj i obrazovanje;Croat. J. Educ.
Croatian Journal of Forest Engineering;Croat. J. For. Eng.
Croatian Journal of Philosophy;Croat. J. Philos.
CROATIAN MEDICAL JOURNAL;Croat. Med. J.
Croatian Operational Research Review;Croat. Oper. Res. Rev.
Croatian Yearbook of European Law & Policy;Croat. Yearb. EUr. Law Policy
CROATICA CHEMICA ACTA;Croat. Chem. Acta
Crop & Pasture Science;Crop Pasture Sci.
Crop Breeding and Applied Biotechnology;Crop. Breed. Appl. Biotechnol.
Crop Forage & Turfgrass Management;Crop Forage Turfgrass Manag.
Crop Journal;Crop J.
CROP PROTECTION;Crop Prot.
CROP SCIENCE;Crop Sci.
Cross Cultural & Strategic Management;Cross Cult. Strateg. Manag.
Cross Currents;Cross Curr.
CROSS-CULTURAL RESEARCH;Cross-Cult. Res.
Cross-Currents-East Asian History and Culture Review;Cross-Curr.-East Asian Hist. Cult. Rev.
CRUSTACEANA;Crustaceana
CRYOBIOLOGY;Cryobiology
CRYOGENICS;Cryogenics
CRYOLETTERS;CryoLetters
Cryosphere;Cryosphere
CRYPTOGAMIE ALGOLOGIE;Cryptogam. Algol.
CRYPTOGAMIE BRYOLOGIE;Cryptogam. Bryol.
CRYPTOGAMIE MYCOLOGIE;Cryptogam. Mycol.
Cryptography;Cryptography
Cryptography and Communications-Discrete-Structures Boolean Functions and Sequences;Cryptogr. Commun.
CRYPTOLOGIA;Cryptologia
CRYSTAL GROWTH & DESIGN;Cryst. Growth Des.
CRYSTAL RESEARCH AND TECHNOLOGY;Cryst. Res. Technol.
CRYSTALLOGRAPHY REPORTS;Crystallogr. Rep.
Crystallography Reviews;Crystallogr. Rev
Crystals;Crystals
CRYSTENGCOMM;Crystengcomm
CSEE Journal of Power and Energy Systems;CSEE J. Power Energy Syst.
CT&F-Ciencia Tecnologia y Futuro;CT F  Cienc. Tecnol. Futuro
CTAD-Cumhuriyet Tarihi Arastirmalari Dergisi;CTAD-Cumhur. Tarihi Arast. Derg.
CTS-Clinical and Translational Science;CTS-Clin. Transl. Sci.
Cuaderno Activa;Cuad. Act.
Cuaderno de Notas;Cuad. Notas
Cuadernos CANELA;CUAD. CANELA
Cuadernos de Administracion-Universidad del Valle;Cuad. Adm.-Univ. Valle
Cuadernos de Antropologia;Cuad. Antropol.
Cuadernos de Bioetica;Cuad. Bioet.
Cuadernos de Desarrollo Rural;Cuad. Desarro. Rural
Cuadernos de Documentacion Multimedia;Cuad. Doc. Multimed.
Cuadernos de Economia;Cuad. Econ.
Cuadernos de Economia-Spain;Cuad. Econ.-Spain
Cuadernos de Estudios Gallegos;Cuad. Estud. Gallegos
Cuadernos de Filologia Clasica-Estudios Griegos e Indoeuropeos;Cuad. Filol. Clasica
Cuadernos de Filologia Clasica-Estudios Latinos;Cuad. Filos. Clasica-Estud. Lat.
Cuadernos de Filologia Italiana;Cuad. Filol. Ital.
Cuadernos de Filosofia Latinoamericana;Cuad. Filos. Latinoam.
Cuadernos de Gestion;Cuad. Gest.
Cuadernos de Historia Contemporanea;Cuad. Hist. Comtemp.
Cuadernos de Historia del Derecho;Cuad. Hist. Derecho
Cuadernos de Historia Moderna;Cuad. Hist. Mod.
Cuadernos de Ilustracion y Romanticismo;Cuad. Ilus. Romant.
Cuadernos de Investigacion Geografica;Cuad. Investig. Geogr.
Cuadernos de Linguistica Hispanica;Cuad. Linguist. Hisp.
Cuadernos de Literatura;Cuad. Lit.
Cuadernos de Literatura del Caribe e Hispanoamerica;Cuad. Lit. Caribe Hispanoam.
Cuadernos de Musica Artes Visuales y Artes Escenicas;Cuad. Music Artes Escen.
Cuadernos de Neuropsicologia-Panamerican Journal of Neuropsychology;Cuad. Neuropsicol.
Cuadernos de Prehistoria y Arqueologia-Universidad Autonoma de Madrid;Cuad. Prehist. Arqueol.
Cuadernos de Relaciones Laborales;Cuad. Relac. Labor.
Cuadernos de Rusistica Espanola;Cuad. Rus. Esp.
Cuadernos de Trabajo Social;Cuad. Trab. Soc.
Cuadernos de Turismo;Cuad. Tur.
Cuadernos de Vivienda y Urbanismo;Cuad. Vivienda Urban.
Cuadernos del CIMBAGE;Cuad. CIMBAGE
Cuadernos del CLAEH-Centro Latinoamericano de Economia Humana;Cuad. CLAEH
Cuadernos Electronicos de Filosofia del Derecho;Cuad. Electron. Filos. Derecho
Cuadernos Europeos de Deusto;Cuad. Eur. Deusto
Cuadernos Geograficos;Cuad. Geogr.
CUADERNOS HISPANOAMERICANOS;Cuad. Hispanoam.
Cuadernos Info;Cuad. Info
Cuadernos Inter c a mbio sobre Centroamerica y el Caribe;Cuad. Inter c a mbio Centroam. Caribe
Cuadernos Lirico;Cuad. Lirico
CUAJ-Canadian Urological Association Journal;CUAJ-Can. Urol. Assoc. J.
Cuaternario y Geomorfologia;Cuatern. Geomorfol.
Cuestiones de Filosofia;Cuest. Filos.
Cuestiones de Sociologia;Cuest. Sociol.
Cuestiones Politicas;Cuest. Politicas
CUHSO-Cultura-Hombre-Sociedad;CUHSO-Cult.-Hombre-Soc.
Cukurova Medical Journal;Cukurova Med. J.
Cukurova University Faculty of Education Journal;Cukurova Univ. Fac. Educ. J.
Cultura Ciencia y Deporte;Cult. Cienc. Deporte
Cultura Cientifica;Cult. Cient.
Cultura de los Cuidados;Cult. Cuid.
Cultura Lenguaje y Representacion-Revista de Estudios Culturales de la Universitat Jaume I;Cult. Leng. Represent.
Cultura y Droga;Cult. Droga
Cultura y Religion;Cult. Relig.
Cultura-International Journal of Philosophy of Culture and Axiology;Cultura
Cultura-Rivista di Filosofia Letteratura Storia;Cultura-Riv. Filos. Lett. Stor.
Cultural & Social History;Cult. Soc. Hist.
CULTURAL ANTHROPOLOGY;Cult. Anthropol.
CULTURAL CRITIQUE;Cult. Crit.
Cultural Diversity & Ethnic Minority Psychology;Cult. Divers. Ethn. Minor. Psychol.
CULTURAL DYNAMICS;Cult. Dynamics
CULTURAL GEOGRAPHIES;Cult. Geogr.
Cultural History;Cult. Hist.
Cultural Sociology;Cult. Sociol.
CULTURAL STUDIES;Cult. Stud.
Cultural Studies of Science Education;Cult. Stud. Sci. Educ.
Cultural Studies Review;Cult. Stud. Rev.
Cultural Studies-Critical Methodologies;Cult. Stud.-Crit. Methodologies
Cultural Trends;Cult. Trends
Culturales;Culturales
Culture & History Digital Journal;Cult. Hist. Digit. J.
CULTURE & PSYCHOLOGY;Cult. Psychol.
Culture Agriculture Food and Environment;Cult. Agric. Food Environ.
Culture and Organization;Cult. Organ.
Culture and Religion;Cult. Relig.
Culture Education;Cult. Educ.
Culture et Musees;Cult. Mus.
CULTURE HEALTH & SEXUALITY;Cult. Health Sex
CULTURE MEDICINE AND PSYCHIATRY;Cult. Med. Psychiatr.
Culture Theory and Critique;Cult. Theory Crit.
Cumhuriyet Ilahiyat Dergisi-Cumhuriyet Theology Journal;Cumhur. Ilah. Derg.
Curator-The Museum Journal;Curator
Cureus;Cureus
Current Allergy & Clinical Immunology;Curr. Allergy Clin. Immunol.
CURRENT ALLERGY AND ASTHMA REPORTS;Curr. Allergy Asthma Rep.
Current Alzheimer Research;Curr. Alzheimer Res.
Current Analytical Chemistry;Curr. Anal. Chem.
CURRENT ANTHROPOLOGY;Curr. Anthropol.
CURRENT APPLIED PHYSICS;Curr. Appl. Phys.
Current Atherosclerosis Reports;Curr. Atheroscleros. Rep.
Current Bioinformatics;Curr. Bioinform.
CURRENT BIOLOGY;Curr. Biol.
Current Bladder Dysfunction Reports;Curr. Bladder Dysfunct. Rep.
Current Breast Cancer Reports;Curr. Breast Cancer Rep
CURRENT CANCER DRUG TARGETS;Curr. Cancer Drug Targets
Current Cancer Therapy Reviews;Curr. Cancer Ther. Rev.
Current Cardiology Reports;Curr. Cardiol. Rep.
CURRENT CARDIOLOGY REVIEWS;Curr. Cardiol. Rev.
Current Cardiovascular Imaging Reports;CURR. CARDIOVASC. IMAGING REP.
Current Cardiovascular Risk Reports;Curr. Cardiovascu. Risk Rep.
Current Climate Change Reports;Curr. Clim. Chang. Rep.
Current Clinical Microbiology Reports;Curr. Clin. Microbiol.
Current Clinical Pharmacology;Curr. Clin. Pharmacol.
Current Colorectal Cancer Reports;Curr. Colorectal Cancer Rep.
Current Computer-Aided Drug Design;Curr. Comput.-Aided Drug Des.
Current Dermatology Reports;Curr. Dermatol. Rep.
Current Developments in Nutrition;Curr. Dev. Nutr.
Current Diabetes Reports;Curr. Diabetes Rep.
CURRENT DIABETES REVIEWS;Curr. Diabetes Reviews
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE;Curr. Dir. Psychol.
Current Drug Delivery;Curr. Drug Deliv.
CURRENT DRUG METABOLISM;Curr. Drug Metab.
Current Drug Safety;Curr. Drug Saf.
CURRENT DRUG TARGETS;Curr. Drug Targets
Current Drug Therapy;Curr. Drug Ther.
Current Emergency and Hospital Medicine Reports;Curr. Emerg. Hosp. Med. Rep.
Current Environmental Health Reports;Curr.. Environ. Health Rep.
Current Epidemiology Reports;Curr. Epidemiol. Rep.
CURRENT EYE RESEARCH;Curr. Eye Res.
Current Forestry Reports;Curr. For. Rep.
Current Fungal Infection Reports;Curr. Fungal Infect. Rep.
CURRENT GENE THERAPY;Curr. Gene Ther.
Current Genetic Medicine Reports;Curr. Genet. Med. Rep.
CURRENT GENETICS;Curr. Genet.
CURRENT GENOMICS;Curr. Genomics
Current Geriatrics Reports;Curr. Geriatr. Rep.
Current Green Chemistry;Curr. Green Chem.
Current Hematologic Malignancy Reports;Curr. Hematol. Malig. Rep.
CURRENT HERPETOLOGY;Curr. Herpetol.
CURRENT HISTORY;Curr. Hist.
CURRENT HIV RESEARCH;Curr. HIV Res.
Current HIV/AIDS Reports;Curr. Hiv/Aids Rep.
CURRENT HYPERTENSION REPORTS;Curr. Hypertens. Rep.
Current Hypertension Reviews;Curr. Hypertens. Rev.
Current Infectious Disease Reports;Curr. Infect. Dis. Rep.
Current Issues in Auditing;CURR. ISS. AUDIT.
Current Issues in Criminal Justice;Curr. Iss. Crim. Justice
Current Issues in Language Planning;Curr. Iss. Lang. Plan.
CURRENT ISSUES IN MOLECULAR BIOLOGY;Curr. Issues Mol. Biol.
Current Issues in Personality Psychology;CURR. ISS. PERSONAL. PSYCHOL.
Current Issues in Pharmacy and Medical Sciences;Curr. Iss. Pharm. Med. Sci.
Current Issues in Tourism;Curr. Issues Tour.
Current Journal of Neurology;Curr. J. Neurol.
Current Legal Problems;Curr. Leg. Probl.
Current Medical Imaging;Curr. Med. Imaging
CURRENT MEDICAL RESEARCH AND OPINION;Curr. Med. Res. Opin.
Current Medical Science;Curr. Med. Sci.
CURRENT MEDICINAL CHEMISTRY;Curr. Med. Chem.
CURRENT MICROBIOLOGY;Curr. Microbiol.
Current Microwave Chemistry;Curr. Microwav. Chem.
CURRENT MOLECULAR MEDICINE;Curr. Mol. Med.
Current Molecular Pharmacology;Curr. Molec. Pharmacol.
Current Nanoscience;Curr. Nanosci.
Current Neurology and Neuroscience Reports;Curr. Neurol. Neurosci. Rep.
Current Neuropharmacology;Curr. Neuropharmacol.
CURRENT NEUROVASCULAR RESEARCH;Curr. Neurovasc. Res.
Current Nutrition & Food Science;Curr. Nutr. Food Sci.
Current Obesity Reports;Curr. Obes. Rep.
Current Obstetrics and Gynecology Reports;CURR. OBSTET. GYNECOL. REP.
Current Oncology;Curr. Oncol.
Current Oncology Reports;Curr. Oncol. Rep.
Current Opinion in Allergy and Clinical Immunology;Curr. Opin. Allergy Clin. Immunol.
Current Opinion in Anesthesiology;Curr. Opin. Anesthesiol.
Current Opinion in Behavioral Sciences;Curr. Opin. Behav. Sci.
CURRENT OPINION IN BIOTECHNOLOGY;Curr. Opin. Biotechnol.
CURRENT OPINION IN CARDIOLOGY;Curr. Opin. Cardiol.
CURRENT OPINION IN CELL BIOLOGY;Curr. Opin. Cell Biol.
CURRENT OPINION IN CHEMICAL BIOLOGY;Curr. Opin. Chem. Biol.
Current Opinion in Chemical Engineering;Curr. Opin. Chem. Eng.
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE;Curr. Opin. Clin. Nutr. Metab. Care
CURRENT OPINION IN COLLOID & INTERFACE SCIENCE;Curr. Opin. Colloid Interface Sci.
Current Opinion in Critical Care;Curr. Opin. Crit. Care
Current Opinion in Electrochemistry;Curr. Opin. Electrochem.
Current Opinion in Endocrinology Diabetes and Obesity;Curr. Opin. Endocrinol. Diabetes Obes.
Current Opinion in Environmental Sustainability;Curr. Opin. Environ. Sustain.
Current Opinion in Food Science;Curr. Opin. Food Sci.
CURRENT OPINION IN GASTROENTEROLOGY;Curr. Opin. Gastroenterol.
CURRENT OPINION IN GENETICS & DEVELOPMENT;Curr. Opin. Genet. Dev.
Current Opinion in Green and Sustainable Chemistry;Curr. Opin. Green Sustain. Chem.
CURRENT OPINION IN HEMATOLOGY;Curr. Opin. Hematol.
Current Opinion in HIV and AIDS;Curr. Opin. HIV AIDS
CURRENT OPINION IN IMMUNOLOGY;Curr. Opin. Immunol.
CURRENT OPINION IN INFECTIOUS DISEASES;Curr. Opin. Infect. Dis.
Current Opinion in Insect Science;Curr. Opin. Insect Sci.
CURRENT OPINION IN LIPIDOLOGY;Curr. Opin. Lipidology
CURRENT OPINION IN MICROBIOLOGY;Curr. Opin. Microbiol.
CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION;Curr. Opin. Nephrol. Hypertens.
CURRENT OPINION IN NEUROBIOLOGY;Curr. Opin. Neurobiol.
CURRENT OPINION IN NEUROLOGY;Curr. Opin. Neurol.
CURRENT OPINION IN OBSTETRICS & GYNECOLOGY;Curr. Opin. Obstet. Gynecol.
CURRENT OPINION IN ONCOLOGY;Curr. Opin. Oncol.
CURRENT OPINION IN OPHTHALMOLOGY;Curr. Opin. Ophthalmol.
Current Opinion in Organ Transplantation;Curr. Opin. Organ Transpl.
Current Opinion in Otolaryngology & Head and Neck Surgery;Curr. Opin. Otolaryngol. Head Neck Surg.
CURRENT OPINION IN PEDIATRICS;CURR. OPIN. PEDIATR.
CURRENT OPINION IN PHARMACOLOGY;Curr. Opin. Pharmacol.
Current Opinion in Physiology;Curr. Opin. Physiol.
CURRENT OPINION IN PLANT BIOLOGY;Curr. Opin. Plant Biol.
CURRENT OPINION IN PSYCHIATRY;Curr. Opin. Psychiatr.
Current Opinion in Psychology;Curr. Opin. Psychol.
CURRENT OPINION IN PULMONARY MEDICINE;Curr. Opin. Pulm. Med.
CURRENT OPINION IN RHEUMATOLOGY;Curr. Opin. Rheumatol.
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE;Curr. Opin. Solid State Mat. Sci.
CURRENT OPINION IN STRUCTURAL BIOLOGY;Curr. Opin. Struct. Biol.
Current Opinion in Supportive and Palliative Care;Curr. Opin Support Palliat. Car.
CURRENT OPINION IN UROLOGY;Curr. Opin. Urol.
Current Opinion in Virology;Curr. Opin. Virol.
Current Optics and Photonics;Curr. Opt. Photonics
CURRENT ORGANIC CHEMISTRY;Curr. Org. Chem.
CURRENT ORGANIC SYNTHESIS;Curr. Org. Synth.
Current Organocatalysis;Curr. Organocatalysis
Current Orthopaedic Practice;Curr. Orthop. Pract.
Current Osteoporosis Reports;Curr. Osteoporos. Rep.
Current Pain and Headache Reports;Curr. Pain Headache Rep.
Current Pathobiology Reports;Curr. Pathobiol. Rep.
Current Pediatric Reviews;Curr. Pediatr. Rev.
Current Pharmaceutical Analysis;Curr. Pharm. Anal.
CURRENT PHARMACEUTICAL BIOTECHNOLOGY;Curr. Pharm. Biotechnol.
CURRENT PHARMACEUTICAL DESIGN;Curr. Pharm. Design
Current Plant Biology;Curr. Plant Biol.
Current Pollution Reports;Curr. Pollut. Rep.
CURRENT PROBLEMS IN CANCER;Curr. Probl. Cancer
CURRENT PROBLEMS IN CARDIOLOGY;Curr. Probl. Cardiol.
Current Problems in Diagnostic Radiology;Curr. Probl. Diagn. Radiol.
Current Problems in Pediatric and Adolescent Health Care;Curr. Probl. Pediatr. Adolesc. Health Care
CURRENT PROBLEMS IN SURGERY;Curr. Probl. Surg.
CURRENT PROTEIN & PEPTIDE SCIENCE;Curr. Protein Pept. Sci.
Current Proteomics;Curr. Proteomics
Current Psychiatry Reports;Curr. Psychiatry Rep.
Current Psychiatry Reviews;Curr. Psychiatry Rev.
CURRENT PSYCHOLOGY;Curr. Psychol.
Current Pulmonology Reports;Curr. Pulmonol. Rep.
Current Radiopharmaceuticals;Curr. Radiopharm.
Current Research in Nutrition and Food Science;Curr. Res. Nutr. Food Sci.
Current Research in Social Psychology;Curr. Res. Soc. Psychol.
Current Research in Translational Medicine;Curr. Res. Transl. Med.
Current Respiratory Medicine Reviews;Curr. Respir. Med. Rev.
Current Reviews in Musculoskeletal Medicine;Curr. Rev. Musculoskelet. Med.
Current Rheumatology Reports;Curr. Rheumatol. Rep.
Current Rheumatology Reviews;Curr. Rheumatol. Rev.
CURRENT SCIENCE;Curr. Sci.
CURRENT SOCIOLOGY;Curr. Sociol.
Current Sports Medicine Reports;Curr. Sport. Med. Rep.
Current Stem Cell Reports;Curr. Stem. Cell Rep.
Current Stem Cell Research & Therapy;Curr. Stem Cell Res. Ther.
Current Surgery Reports;Curr. Surg. Rep.
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL;Curr. Ther. Res.-Clin. Exp.
Current Topics in Developmental Biology;Curr. Top. Dev. Biol.
CURRENT TOPICS IN MEDICINAL CHEMISTRY;Curr. Top. Med. Chem.
Current Topics in Membranes;Curr. Top. Membr.
Current Topics in Microbiology and Immunology;Curr.Top.Microbiol.Immunol.
Current Topics in Nutraceutical Research;Curr. Top. Nutraceutical Res.
Current Traditional Medicine;Curr. Tradit. Med.
Current Trauma Reports;Curr. Trauma Rep.
Current Treatment Options in Infectious Diseases;Curr. Treat. Option Infect. Dis
Current Treatment Options in Neurology;Curr. Treat. Options Neurol.
CURRENT TREATMENT OPTIONS IN ONCOLOGY;Curr. Treat. Options Oncol.
Current Trends in Translation Teaching and Learning E;Curr. Trends Transl. Teach. Learn. E
Current Tropical Medicine Reports;Curr. Trop. Med. Rep.
Current Urology Reports;Curr. Urol. Rep.
Current Vascular Pharmacology;Current Vascular Pharmacology
Current Womens Health Reviews;Curr. Womens Health Rev.
Current Writing-Text and Reception in Southern Africa;Curr. Writ.
Current Zoology;Curr. Zool.
Currents in Biblical Research;Curr. Biblic. Res.
Currents in Pharmacy Teaching and Learning;Curr. Pharm. Teach. Learn.
CURRICULUM INQUIRY;Curric. Inq.
Curriculum Journal;Curric. J.
Curved and Layered Structures;CURVED LAYER STRUCT.
Custos e Agronegocio On Line;Custos Agronegocio Line
Cutaneous and Ocular Toxicology;Cutan. Ocul. Toxicol.
CyberGeo-European Journal of Geography;CyberGeo
Cybernetics and Information Technologies;Cybern. Inf. Technol.
CYBERNETICS AND SYSTEMS;Cybern. Syst.
CYBERNETICS AND SYSTEMS ANALYSIS;Cybern. Syst. Anal.
Cyberpsychology Behavior and Social Networking;Cyberpsychology Behav. Soc. Netw.
Cyberpsychology-Journal of Psychosocial Research on Cyberspace;Cyberpsychology
CYBIUM;Cybium
Cyprus Journal of Medical Sciences;Cyprus J. Med. Sci.
CyTA-Journal of Food;CyTA-J. Food
CYTOGENETIC AND GENOME RESEARCH;Cytogenet. Genome Res.
CytoJournal;CytoJournal
CYTOKINE;Cytokine
CYTOKINE & GROWTH FACTOR REVIEWS;Cytokine Growth Factor Rev.
CYTOLOGIA;Cytologia
Cytology and Genetics;Cytol. Genet.
CYTOMETRY PART A;Cytom. Part A
CYTOMETRY PART B-CLINICAL CYTOMETRY;Cytom. Part B-Clin. Cytom.
CYTOPATHOLOGY;Cytopathology
Cytoskeleton;Cytoskeleton
CYTOTECHNOLOGY;Cytotechnology
CYTOTHERAPY;Cytotherapy
CZECH JOURNAL OF ANIMAL SCIENCE;Czech J. Anim. Sci.
CZECH JOURNAL OF FOOD SCIENCES;Czech. J. Food Sci.
Czech Journal of Genetics and Plant Breeding;Czech J. Genet. Plant Breed.
Czech-Polish Historical and Pedagogical Journal;Czech-Pol. Hist. Pedagog. J.
CZECHOSLOVAK MATHEMATICAL JOURNAL;Czech. Math. J.
Dacoromania;Dacoromania
DADOS-REVISTA DE CIENCIAS SOCIAIS;Dados-Rev. Cienc. Sociais
DAEDALUS;Daedalus
Daimon-Revista Internacional de Filosofia;Daimon-Rev. Int. Filosof.
Dairy Science & Technology;Dairy Sci. Technol.
Dalhousie Journal of Interdisciplinary Management;Dalhous. J. Interdiscip. Manag.
DALHOUSIE REVIEW;Dalhous. Rev.
DALTON TRANSACTIONS;Dalton Trans.
DANCE CHRONICLE;Dance Chron.
DANCE MAGAZINE;Dance Mag.
Dance Research;Dance Res.
DANCE RESEARCH JOURNAL;Dance Res. J.
DANCING TIMES;Danc. Times
Danish Medical Journal;Dan. Med. J.
Danza e Ricerca-Laboratorio di Studi Scritture Visioni;Danza Ric.
Dao-A Journal of Comparative Philosophy;Dao
DAPHNIS-ZEITSCHRIFT FUR MITTLERE DEUTSCHE LITERATUR;Daphnis-Z. Mittl. Dtsch. Lit.
DARU-Journal of Pharmaceutical Sciences;DARU
Data;Data
DATA & KNOWLEDGE ENGINEERING;Data Knowl. Eng.
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS;Data Base Adv. Inf. Syst.
Data in Brief;Data Brief
DATA MINING AND KNOWLEDGE DISCOVERY;Data Min. Knowl. Discov.
Data Technologies and Applications;Data Technol. Appl.
Database-The Journal of Biological Databases and Curation;Database
DDS-Die Deutsche Schule;DDS-Dtsch. Sch.
De Arte;De Arte
De Computis-Revista Espanola de Historia de la Contabilidad;Computis
De Jure;De Jure
